,Unnamed: 0,Date,Total Tested,Total Cases,Total Deaths,Total Recovered,Newly Tested,New Cases,New Deaths,Newly Recovered,Notes,Day of Pandemic/Outbreak,Positivity rate,Death case ratio,Cases Normalised,Tests Normalised,Daily Tests SMA3,Daily Cases SMA3,Daily Deaths SMA3,Daily Tests SMA7,Daily Cases SMA7,Daily Deaths SMA7,Daily Recoveries SMA7
0,0,2020-03-08,111.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Early spread,0.0,0.0,0.0,0.0,,,,,,,
1,1,2020-03-11,142.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,,,,,,,
2,2,2020-03-12,163.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
3,3,2020-03-13,187.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0,3/1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
4,4,2020-03-14,211.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0,4/2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
5,5,2020-03-15,231.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0,5/3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
6,6,2020-03-16,241.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0,6/4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,2020-03-17,277.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,0,7/5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,2020-03-18,351.0,14.0,1.0,3.0,10.0,4.0,1.0,1.0,Three males were returnees from Italy and Kuwait while the female was a family member of a foreign returnee,8/6,0.4,0.07142857142857142,1.3772018013799561e-05,7.027357502758238e-06,3.3333333333333335,1.3333333333333333,0.3333333333333333,1.4285714285714286,0.5714285714285714,0.14285714285714285,0.14285714285714285
9,9,2020-03-19,397.0,17.0,1.0,3.0,46.0,3.0,0.0,0.0,Two male cases are returnees from Italy and the female is a family member,9/7,0.06521739130434782,0.058823529411764705,1.0329013510349671e-05,3.2325844512687896e-05,18.666666666666668,2.3333333333333335,0.3333333333333333,8.0,1.0,0.14285714285714285,0.14285714285714285
